JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
0.53	1.514	0.055	0.21
0.53	1.538	0.055	3.62
0.53	1.562	0.056	5.59
0.53	1.588	0.056	0.35
0.53	1.614	0.057	0.19
0.53	1.641	0.057	4.20
0.54	1.668	0.058	5.74
0.54	1.696	0.058	0.13
0.54	1.725	0.059	0.09
0.54	1.755	0.059	2.71
0.54	1.785	0.060	0.24
0.54	1.817	0.060	0.21
0.54	1.849	0.061	6.21
0.54	1.882	0.061	3.05
0.54	1.916	0.062	2.83
0.54	1.952	0.062	0.18
0.55	1.988	0.063	2.88
0.55	2.025	0.064	2.85
0.55	2.064	0.064	0.61
0.55	2.103	0.065	0.10
0.55	2.144	0.065	2.45
0.55	2.186	0.066	3.15
0.55	2.229	0.067	5.94
0.55	2.274	0.067	2.72
0.55	2.320	0.068	3.49
0.55	2.367	0.069	1.60
0.56	2.416	0.070	4.51
0.56	2.466	0.070	0.84
0.56	2.518	0.071	0.00
0.56	2.571	0.072	4.00
0.56	2.626	0.072	0.48
0.56	2.682	0.073	4.54
0.56	2.740	0.074	2.37
0.56	2.800	0.075	0.13
0.56	2.861	0.076	2.18
0.56	2.924	0.076	0.91
0.57	2.989	0.077	3.61
0.57	3.055	0.078	1.30
0.57	3.123	0.079	0.46
0.57	3.193	0.080	1.16
0.57	3.265	0.081	5.13
0.57	3.338	0.082	1.55
0.57	3.413	0.083	6.12
0.57	3.490	0.084	2.34
0.57	3.569	0.084	5.55
0.57	3.649	0.085	5.49
0.58	3.731	0.086	1.56
0.58	3.814	0.087	0.70
0.58	3.899	0.088	2.92
0.58	3.985	0.089	5.00
0.58	4.073	0.090	4.90
0.58	4.163	0.091	0.08
0.58	4.253	0.092	2.46
0.58	4.345	0.093	1.44
0.58	4.437	0.094	3.56
0.58	4.531	0.095	0.92
0.59	4.626	0.096	3.84
0.59	4.721	0.097	5.84
0.59	4.817	0.098	0.71
0.59	4.913	0.099	5.27
0.59	5.009	0.100	1.49
0.59	5.106	0.101	2.24
0.59	5.202	0.102	5.00
0.59	5.298	0.103	5.54
0.59	5.394	0.104	0.30
0.59	5.488	0.105	3.08
0.59	5.582	0.106	0.42
0.60	5.675	0.107	4.03
0.60	5.766	0.107	2.95
0.60	5.856	0.108	2.79
0.60	5.944	0.109	5.00
0.60	6.029	0.110	2.48
0.60	6.113	0.111	1.67
0.60	6.193	0.111	5.83
0.60	6.271	0.112	2.80
0.60	6.346	0.113	0.77
0.60	6.418	0.113	5.17
0.61	6.485	0.114	3.53
0.61	6.550	0.114	4.11
0.61	6.610	0.115	6.08
0.61	6.666	0.115	5.31
0.61	6.717	0.116	2.97
0.61	6.764	0.116	1.72
0.61	6.807	0.117	2.30
0.61	6.844	0.117	1.26
0.61	6.877	0.117	6.28
0.61	6.904	0.117	1.73
0.62	6.926	0.118	0.21
0.62	6.943	0.118	0.04
0.62	6.954	0.118	5.88
0.62	6.960	0.118	4.56
0.62	6.961	0.118	4.39
0.62	6.958	0.118	3.18
0.62	6.952	0.118	0.22
0.62	6.942	0.118	5.91
0.62	6.929	0.118	5.64
0.62	6.912	0.118	5.67
0.63	6.892	0.117	5.62
0.63	6.869	0.117	3.44
0.63	6.843	0.117	3.20
0.63	6.813	0.117	0.44
0.63	6.781	0.116	0.43
0.63	6.746	0.116	4.24
0.63	6.707	0.116	5.96
0.63	6.666	0.115	0.55
0.63	6.622	0.115	5.87
0.64	6.576	0.115	1.48
0.64	6.527	0.114	2.31
0.64	6.476	0.114	1.83
0.64	6.422	0.113	4.39
0.64	6.366	0.113	0.72
0.64	6.308	0.112	6.08
0.64	6.248	0.112	4.70
0.64	6.187	0.111	0.97
0.64	6.123	0.111	6.07
0.64	6.058	0.110	1.77
0.65	5.992	0.109	2.98
0.65	5.924	0.109	3.57
0.65	5.855	0.108	3.72
0.65	5.784	0.108	0.07
0.65	5.713	0.107	4.16
0.65	5.641	0.106	2.16
0.65	5.568	0.106	2.16
0.65	5.494	0.105	4.08
0.65	5.420	0.104	1.39
0.65	5.346	0.103	2.72
0.66	5.271	0.103	4.47
0.66	5.195	0.102	0.03
0.66	5.120	0.101	2.75
0.66	5.045	0.100	1.02
0.66	4.969	0.100	1.23
0.66	4.894	0.099	0.67
0.66	4.819	0.098	0.99
0.66	4.744	0.097	4.40
0.66	4.670	0.097	2.81
0.66	4.596	0.096	5.42
0.67	4.522	0.095	2.87
0.67	4.449	0.094	2.49
0.67	4.377	0.094	1.09
0.67	4.305	0.093	1.32
0.67	4.235	0.092	2.25
0.67	4.164	0.091	0.67
0.67	4.095	0.091	6.23
0.67	4.027	0.090	4.12
0.67	3.959	0.089	5.78
0.67	3.893	0.088	1.41
0.68	3.827	0.087	5.69
0.68	3.762	0.087	0.71
0.68	3.699	0.086	0.86
0.68	3.636	0.085	0.60
0.68	3.574	0.085	0.07
0.68	3.514	0.084	5.55
0.68	3.454	0.083	6.24
0.68	3.396	0.082	4.26
0.68	3.339	0.082	4.87
0.68	3.283	0.081	1.79
0.69	3.228	0.080	0.80
0.69	3.174	0.080	3.29
0.69	3.121	0.079	2.15
0.69	3.069	0.078	2.69
0.69	3.019	0.078	3.84
0.69	2.969	0.077	0.55
0.69	2.921	0.076	2.33
0.69	2.873	0.076	2.67
0.69	2.827	0.075	0.31
0.69	2.782	0.075	5.63
0.70	2.738	0.074	3.60
0.70	2.695	0.073	5.47
0.70	2.652	0.073	4.72
0.70	2.611	0.072	0.67
0.70	2.571	0.072	3.95
0.70	2.532	0.071	0.63
0.70	2.494	0.071	1.33
0.70	2.457	0.070	2.17
0.70	2.420	0.070	4.21
0.70	2.385	0.069	5.27
0.71	2.350	0.069	5.97
0.71	2.317	0.068	0.34
0.71	2.284	0.068	5.80
0.71	2.252	0.067	6.06
0.71	2.221	0.067	4.64
0.71	2.191	0.066	4.96
0.71	2.161	0.066	3.13
0.71	2.132	0.065	4.70
0.71	2.104	0.065	5.18
0.71	2.077	0.064	2.05
0.71	2.051	0.064	0.29
0.72	2.025	0.064	0.99
0.72	2.000	0.063	4.98
0.72	1.975	0.063	6.04
0.72	1.951	0.062	0.48
0.72	1.928	0.062	2.96
0.72	1.906	0.062	2.10
0.72	1.884	0.061	1.87
0.72	1.862	0.061	0.88
0.72	1.841	0.061	3.82
0.72	1.821	0.060	2.15
0.73	1.801	0.060	5.49
0.73	1.782	0.060	3.31
0.73	1.763	0.059	5.03
0.73	1.745	0.059	2.36
0.73	1.727	0.059	1.51
0.73	1.710	0.058	2.12
0.73	1.693	0.058	0.32
0.73	1.677	0.058	6.25
0.73	1.661	0.058	4.78
0.73	1.645	0.057	1.42
0.74	1.630	0.057	5.14
0.74	1.615	0.057	6.16
0.74	1.601	0.057	3.22
